timestamp,Bazylea Temperature [2 m elevation corrected],Bazylea Sunshine Duration,Bazylea Precipitation Total,Bazylea Cloud Cover Total,Bazylea Mean Sea Level Pressure [MSL],Bazylea Wind Gust
20201127T0000,5.2805285,0.0,0.0,0.0,1021.5,7.92
20201127T0100,4.5605288,0.0,0.0,0.0,1021.2,8.28
20201127T0200,3.8705285,0.0,0.0,0.0,1021.6,9.0
20201127T0300,3.4905286,0.0,0.0,0.0,1020.7,6.12
20201127T0400,3.0105286,0.0,0.0,0.0,1020.2,5.04
20201127T0500,2.6105285,0.0,0.0,0.0,1020.9,5.04
20201127T0600,2.3905284,0.0,0.0,0.0,1020.9,6.8399997
20201127T0700,2.2705286,0.0,0.0,0.0,1020.8,7.2
20201127T0800,1.9805287,9.766666,0.0,0.0,1020.6,7.92
20201127T0900,2.2305286,60.0,0.0,0.0,1021.0,8.28
20201127T1000,4.0605288,60.0,0.0,0.0,1020.5,9.72
20201127T1100,7.3605285,60.0,0.0,0.0,1020.0,10.08
20201127T1200,9.950529,60.0,0.0,0.0,1019.7,11.159999
20201127T1300,10.990529,60.0,0.0,0.0,1018.7,10.799999
20201127T1400,11.910529,60.0,0.0,0.0,1018.2,11.5199995
20201127T1500,12.200529,60.0,0.0,0.0,1018.5,12.599999
20201127T1600,11.230529,60.0,0.0,0.0,1017.7,13.32
20201127T1700,9.580529,44.55,0.0,0.0,1017.3,16.56
20201127T1800,8.520529,0.0,0.0,0.0,1018.1,17.28
20201127T1900,7.4305286,0.0,0.0,0.0,1018.3,18.0
20201127T2000,6.7105284,0.0,0.0,0.0,1018.4,19.44
20201127T2100,6.7605286,0.0,0.0,0.0,1018.7,20.16
20201127T2200,6.1505284,0.0,0.0,0.0,1018.5,20.880001
20201127T2300,5.8005285,0.0,0.0,0.0,1018.6,18.0
20201128T0000,5.0305285,0.0,0.0,0.0,1018.7,18.359999
20201128T0100,4.5705285,0.0,0.0,0.0,1018.5,17.28
20201128T0200,4.5105286,0.0,0.0,0.0,1018.9,16.56
20201128T0300,4.2105284,0.0,0.0,0.0,1018.0,16.56
20201128T0400,4.3005285,0.0,0.0,0.0,1018.1,16.56
20201128T0500,4.3405285,0.0,0.0,0.0,1017.8,16.56
20201128T0600,4.0705285,0.0,0.0,0.0,1017.8,17.64
20201128T0700,3.3505285,0.0,0.0,0.0,1018.2,18.0
20201128T0800,2.4905286,8.483334,0.0,0.0,1017.6,17.28
20201128T0900,2.3905284,60.0,0.0,0.0,1018.1,18.0
20201128T1000,3.7205286,60.0,0.0,0.0,1017.8,15.84
20201128T1100,5.1205287,60.0,0.0,0.0,1017.6,15.84
20201128T1200,6.0905285,60.0,0.0,0.0,1017.3,11.879999
20201128T1300,7.7305284,60.0,0.0,0.0,1016.7,16.199999
20201128T1400,7.1605287,60.0,0.0,0.0,1016.8,18.0
20201128T1500,6.8205285,60.0,0.0,0.0,1016.9,18.0
20201128T1600,6.790529,60.0,0.0,0.0,1016.7,17.28
20201128T1700,5.2505283,43.95,0.0,0.0,1016.9,13.679999
20201128T1800,3.6905286,0.0,0.0,0.0,1017.3,16.199999
20201128T1900,2.9605286,0.0,0.0,0.0,1017.4,15.4800005
20201128T2000,2.6305285,0.0,0.0,0.0,1017.5,16.199999
20201128T2100,2.4105287,0.0,0.0,1.5,1018.7,16.199999
20201128T2200,1.9205287,0.0,0.0,4.2000003,1019.2,17.28
20201128T2300,1.4605286,0.0,0.0,5.1000004,1019.2,18.72
20201129T0000,0.5805287,0.0,0.0,5.1000004,1019.3,19.08
20201129T0100,-0.43947133,0.0,0.0,28.0,1019.3,6.12
20201129T0200,-1.0794713,0.0,0.0,100.0,1020.4,9.72
20201129T0300,-1.4394714,0.0,0.0,100.0,1020.4,2.52
20201129T0400,-1.5394714,0.0,0.0,100.0,1020.6,2.8799999
20201129T0500,-1.5194713,0.0,0.0,100.0,1020.7,18.359999
20201129T0600,-1.0194713,0.0,0.0,100.0,1021.4,16.56
20201129T0700,-1.4694713,0.0,0.0,100.0,1022.0,18.0
20201129T0800,-1.3294713,0.0,0.0,100.0,1021.9,15.4800005
20201129T0900,-0.8094713,0.0,0.0,100.0,1022.9,14.04
20201129T1000,-0.069471344,0.0,0.0,100.0,1023.2,13.679999
20201129T1100,1.0405287,0.0,0.0,100.0,1023.5,14.4
20201129T1200,1.7205287,0.0,0.0,100.0,1023.9,13.32
20201129T1300,0.91052866,55.595745,0.0,6.9,1022.8,16.199999
20201129T1400,2.4905286,55.97872,0.0,6.3,1022.9,9.72
20201129T1500,3.3205285,60.0,0.0,0.0,1022.5,11.159999
20201129T1600,3.3305285,60.0,0.0,0.0,1022.7,12.24
20201129T1700,2.9905286,43.366665,0.0,0.0,1023.0,8.28
20201129T1800,2.4705286,0.0,0.0,0.0,1023.4,11.159999
20201129T1900,1.0505286,0.0,0.0,0.0,1024.1,11.879999
20201129T2000,-0.26947135,0.0,0.0,0.0,1024.3,11.879999
20201129T2100,-0.34947133,0.0,0.0,0.0,1025.2,9.72
20201129T2200,-0.44947132,0.0,0.0,0.0,1025.6,6.8399997
20201129T2300,-0.7894713,0.0,0.0,3.0,1025.6,10.799999
20201130T0000,-0.84947133,0.0,0.0,5.0,1025.9,11.879999
20201130T0100,-0.9994713,0.0,0.0,7.0,1026.2,12.959999
20201130T0200,-1.1794714,0.0,0.0,11.0,1026.7,15.119999
20201130T0300,-1.4494714,0.0,0.0,10.0,1026.1,12.24
20201130T0400,-1.6494713,0.0,0.0,13.0,1026.1,8.64
20201130T0500,-1.7094713,0.0,0.0,12.0,1027.2,6.8399997
20201130T0600,-1.8394713,0.0,0.0,10.0,1027.3,8.64
20201130T0700,-2.2494714,0.0,0.0,6.0,1027.7,9.72
20201130T0800,-2.7894714,5.727837,0.0,3.0,1028.0,12.599999
20201130T0900,-2.4194715,53.61702,0.0,10.0,1028.6,11.879999
20201130T1000,-1.5194713,60.0,0.0,0.0,1029.0,9.36
20201130T1100,-0.5394713,60.0,0.0,0.0,1028.9,7.92
20201130T1200,0.25052866,60.0,0.0,0.0,1028.5,6.12
20201130T1300,3.4805286,60.0,0.0,0.0,1026.2,6.4799995
20201130T1400,4.1905284,60.0,0.0,0.0,1026.1,3.96
20201130T1500,4.4505286,60.0,0.0,0.0,1026.4,4.32
20201130T1600,4.0905285,60.0,0.0,0.0,1026.3,3.96
20201130T1700,3.7405286,42.766666,0.0,0.0,1026.2,2.8799999
